Date,Visitor,GV,Home,GH
2024-04-20,New York Islanders,1,Carolina Hurricanes,3
2024-04-20,Toronto Maple Leafs,1,Boston Bruins,5
2024-04-21,Washington Capitals,1,New York Rangers,4
2024-04-21,Nashville Predators,2,Vancouver Canucks,4
2024-04-21,Colorado Avalanche,6,Winnipeg Jets,7
2024-04-21,Tampa Bay Lightning,2,Florida Panthers,3
2024-04-22,Toronto Maple Leafs,3,Boston Bruins,2
2024-04-22,New York Islanders,3,Carolina Hurricanes,5
2024-04-22,Vegas Golden Knights,4,Dallas Stars,3
2024-04-22,Los Angeles Kings,4,Edmonton Oilers,7
2024-04-23,Colorado Avalanche,5,Winnipeg Jets,2
2024-04-23,Nashville Predators,4,Vancouver Canucks,1
2024-04-23,Washington Capitals,3,New York Rangers,4
2024-04-23,Tampa Bay Lightning,2,Florida Panthers,3
2024-04-24,Vegas Golden Knights,3,Dallas Stars,1
2024-04-24,Los Angeles Kings,5,Edmonton Oilers,4
2024-04-24,Boston Bruins,4,Toronto Maple Leafs,2
2024-04-25,Carolina Hurricanes,3,New York Islanders,2
2024-04-25,Florida Panthers,5,Tampa Bay Lightning,3
2024-04-26,Winnipeg Jets,2,Colorado Avalanche,6
2024-04-26,Edmonton Oilers,6,Los Angeles Kings,1
2024-04-26,Vancouver Canucks,2,Nashville Predators,1
2024-04-26,New York Rangers,3,Washington Capitals,1
2024-04-27,Carolina Hurricanes,2,New York Islanders,3
2024-04-27,Dallas Stars,3,Vegas Golden Knights,2
2024-04-27,Florida Panthers,3,Tampa Bay Lightning,6
2024-04-27,Boston Bruins,3,Toronto Maple Leafs,1
2024-04-28,Winnipeg Jets,1,Colorado Avalanche,5
2024-04-28,Edmonton Oilers,1,Los Angeles Kings,0
2024-04-28,Vancouver Canucks,4,Nashville Predators,3
2024-04-28,New York Rangers,4,Washington Capitals,2
2024-04-29,Tampa Bay Lightning,1,Florida Panthers,6
2024-04-29,Dallas Stars,4,Vegas Golden Knights,2
2024-04-30,New York Islanders,3,Carolina Hurricanes,6
2024-04-30,Colorado Avalanche,6,Winnipeg Jets,3
2024-04-30,Nashville Predators,2,Vancouver Canucks,1
2024-04-30,Toronto Maple Leafs,2,Boston Bruins,1
2024-05-01,Vegas Golden Knights,2,Dallas Stars,3
2024-05-01,Los Angeles Kings,3,Edmonton Oilers,4
2024-05-02,Boston Bruins,1,Toronto Maple Leafs,2
2024-05-03,Vancouver Canucks,1,Nashville Predators,0
2024-05-03,Dallas Stars,0,Vegas Golden Knights,2
2024-05-04,Toronto Maple Leafs,1,Boston Bruins,2
2024-05-05,Carolina Hurricanes,3,New York Rangers,4
2024-05-05,Vegas Golden Knights,1,Dallas Stars,2
2024-05-06,Boston Bruins,5,Florida Panthers,1
2024-05-07,Carolina Hurricanes,3,New York Rangers,4
2024-05-07,Colorado Avalanche,4,Dallas Stars,3
2024-05-08,Boston Bruins,1,Florida Panthers,6
2024-05-08,Edmonton Oilers,4,Vancouver Canucks,5
2024-05-09,New York Rangers,3,Carolina Hurricanes,2
2024-05-09,Colorado Avalanche,3,Dallas Stars,5
2024-05-10,Florida Panthers,6,Boston Bruins,2
2024-05-10,Edmonton Oilers,4,Vancouver Canucks,3
2024-05-11,New York Rangers,3,Carolina Hurricanes,4
2024-05-11,Dallas Stars,4,Colorado Avalanche,1
2024-05-12,Florida Panthers,3,Boston Bruins,2
2024-05-12,Vancouver Canucks,4,Edmonton Oilers,3
2024-05-13,Dallas Stars,5,Colorado Avalanche,1
2024-05-13,Carolina Hurricanes,4,New York Rangers,1
2024-05-14,Vancouver Canucks,2,Edmonton Oilers,3
2024-05-14,Boston Bruins,2,Florida Panthers,1
2024-05-15,Colorado Avalanche,5,Dallas Stars,3
2024-05-16,New York Rangers,5,Carolina Hurricanes,3
2024-05-16,Edmonton Oilers,2,Vancouver Canucks,3
2024-05-17,Dallas Stars,2,Colorado Avalanche,1
2024-05-17,Florida Panthers,2,Boston Bruins,1
2024-05-18,Vancouver Canucks,1,Edmonton Oilers,5
2024-05-20,Edmonton Oilers,3,Vancouver Canucks,2
2024-05-22,Florida Panthers,3,New York Rangers,0
2024-05-23,Edmonton Oilers,3,Dallas Stars,2
2024-05-24,Florida Panthers,1,New York Rangers,2
2024-05-25,Edmonton Oilers,1,Dallas Stars,3
2024-05-26,New York Rangers,5,Florida Panthers,4
2024-05-27,Dallas Stars,5,Edmonton Oilers,3
2024-05-28,New York Rangers,2,Florida Panthers,3
2024-05-29,Dallas Stars,2,Edmonton Oilers,5
2024-05-30,Florida Panthers,3,New York Rangers,2
2024-05-31,Edmonton Oilers,3,Dallas Stars,1
2024-06-01,New York Rangers,1,Florida Panthers,2
2024-06-02,Dallas Stars,1,Edmonton Oilers,2
2024-06-08,Edmonton Oilers,0,Florida Panthers,3
2024-06-10,Edmonton Oilers,1,Florida Panthers,4
2024-06-13,Florida Panthers,4,Edmonton Oilers,3
2024-06-15,Florida Panthers,1,Edmonton Oilers,8
2024-06-18,Edmonton Oilers,5,Florida Panthers,3
2024-06-21,Florida Panthers,1,Edmonton Oilers,5
2024-06-24,Edmonton Oilers,1,Florida Panthers,2