Rk,TeamName,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Winnipeg Jets,29.4,64,44,16,4,92,.719,225,147,1,1,1.13,-0.09,3.52,2.30,56,174,32.18,33,161,79.50,4,2,7.7,8.6,1831,12.3,1778,.917,7
2,Washington Capitals,29.3,63,41,14,8,90,.714,227,162,1,3,1.00,0.00,3.60,2.57,42,178,23.60,34,186,81.72,6,6,8.2,8.0,1738,13.1,1711,.905,3
3,Dallas Stars,28.3,63,41,20,2,84,.667,215,164,2,1,0.80,-0.03,3.41,2.60,44,189,23.28,26,166,84.34,6,4,6.6,7.6,1850,11.6,1737,.906,3
4,Florida Panthers,29.4,64,40,21,3,83,.648,209,172,4,0,0.64,0.00,3.27,2.69,45,193,23.32,36,189,80.95,12,8,10.0,10.0,2050,10.2,1709,.899,7
5,Vegas Golden Knights,29.2,62,38,18,6,82,.661,207,166,1,2,0.65,0.00,3.34,2.68,42,150,28.00,29,125,76.80,5,3,5.5,6.3,1895,10.9,1633,.898,5
6,Toronto Maple Leafs,29.2,63,38,22,3,79,.627,202,186,0,1,0.25,0.01,3.21,2.95,42,174,24.14,39,186,79.03,4,6,7.7,7.5,1791,11.3,1841,.899,2
7,Edmonton Oilers,30.4,63,37,22,4,78,.619,205,185,0,1,0.28,-0.02,3.25,2.94,41,154,26.62,38,151,74.83,3,3,6.9,7.4,2014,10.2,1725,.893,3
8,Tampa Bay Lightning,29.5,63,37,22,4,78,.619,223,168,1,1,0.87,-0.01,3.54,2.67,47,180,26.11,30,158,81.01,10,9,8.3,9.2,1819,12.3,1808,.907,5
9,Colorado Avalanche,28.4,64,38,24,2,78,.609,215,189,1,1,0.40,-0.01,3.36,2.95,45,186,24.19,34,162,79.01,5,4,6.9,7.3,1896,11.3,1687,.888,3
10,Carolina Hurricanes,29.5,63,37,22,4,78,.619,200,171,0,2,0.45,0.02,3.17,2.71,35,187,18.72,30,186,83.87,8,3,7.1,7.3,2000,10.0,1577,.892,4
11,Minnesota Wild,29.4,63,36,23,4,76,.603,176,180,2,2,-0.07,-0.01,2.79,2.86,32,158,20.25,48,161,70.19,3,4,8.0,7.9,1734,10.1,1880,.904,5
12,Los Angeles Kings,29.2,61,32,20,9,73,.598,170,160,1,3,0.10,-0.03,2.79,2.62,21,142,14.79,32,172,81.40,2,4,7.8,7.1,1700,10.0,1554,.897,2
13,New Jersey Devils,29.5,64,33,25,6,72,.563,189,163,1,1,0.45,0.05,2.95,2.55,48,174,27.59,32,182,82.42,5,4,8.9,8.0,1851,10.2,1693,.904,8
14,Calgary Flames,28.4,63,30,23,10,70,.556,161,181,3,1,-0.30,-0.02,2.56,2.87,38,179,21.23,47,187,74.87,5,6,10.3,10.3,1822,8.8,1842,.902,5
15,Vancouver Canucks,28.7,62,29,22,11,69,.556,170,186,1,1,-0.32,-0.06,2.74,3.00,39,173,22.54,32,176,81.82,3,5,9.6,9.3,1581,10.8,1680,.889,5
16,Ottawa Senators,28.0,62,32,25,5,69,.556,177,177,1,2,0.02,0.03,2.85,2.85,47,206,22.82,42,182,76.92,9,2,9.0,10.1,1848,9.6,1751,.899,8
17,St. Louis Blues,29.2,65,31,27,7,69,.531,183,193,4,1,-0.04,0.07,2.82,2.97,28,145,19.31,45,156,71.15,2,4,7.2,6.8,1748,10.5,1820,.894,4
18,Columbus Blue Jackets,27.5,62,30,24,8,68,.548,203,204,4,1,0.03,-0.01,3.27,3.29,30,145,20.69,43,170,74.71,8,3,8.3,7.1,1773,11.4,1848,.890,2
19,New York Rangers,28.8,63,31,26,6,68,.540,191,190,1,0,0.01,-0.02,3.03,3.02,32,163,19.63,32,188,82.98,11,3,8.5,7.9,1829,10.4,1913,.901,7
20,Boston Bruins,28.3,65,29,28,8,66,.508,176,203,0,1,-0.38,0.05,2.71,3.12,29,194,14.95,46,200,77.00,6,10,10.4,9.5,1788,9.8,1849,.890,7
21,Utah Hockey Club,27.6,63,28,25,10,66,.524,178,185,1,2,-0.12,0.01,2.83,2.94,42,178,23.60,35,186,81.18,2,5,9.5,9.6,1783,10.0,1768,.895,2
22,Montreal Canadiens,26.7,63,30,27,6,66,.524,184,206,2,2,-0.31,0.04,2.92,3.27,40,186,21.51,36,202,82.18,8,6,9.2,8.3,1636,11.2,1824,.887,5
23,Detroit Red Wings,29.4,63,30,27,6,66,.524,178,202,3,0,-0.39,-0.06,2.83,3.21,53,185,28.65,44,147,70.07,2,6,6.0,7.1,1721,10.3,1821,.889,3
24,New York Islanders,29.7,62,29,26,7,65,.524,170,183,2,1,-0.22,-0.03,2.74,2.95,19,148,12.84,40,136,70.59,6,4,6.0,6.2,1792,9.5,1777,.897,3
25,Philadelphia Flyers,26.8,64,27,29,8,62,.484,181,213,4,3,-0.47,0.01,2.83,3.33,26,170,15.29,34,157,78.34,3,6,7.7,7.9,1748,10.4,1731,.877,3
26,Anaheim Ducks,27.6,62,27,28,7,61,.492,162,190,3,2,-0.42,0.01,2.61,3.06,21,167,12.57,47,176,73.30,1,4,8.8,8.1,1707,9.5,1984,.904,1
27,Pittsburgh Penguins,30.8,65,24,31,10,58,.446,183,236,1,5,-0.85,0.03,2.82,3.63,43,180,23.89,36,169,78.70,4,4,6.8,7.6,1872,9.8,1958,.879,1
28,Seattle Kraken,29.0,64,27,33,4,58,.453,189,205,1,3,-0.33,-0.05,2.95,3.20,32,174,18.39,33,143,76.92,2,3,6.3,7.2,1733,10.9,1840,.889,1
29,Nashville Predators,30.2,63,24,32,7,55,.437,166,209,1,0,-0.63,0.04,2.63,3.32,35,175,20.00,36,190,81.05,1,4,9.8,9.0,1884,8.8,1836,.886,4
30,Buffalo Sabres,25.8,62,24,32,6,54,.435,194,217,2,1,-0.38,-0.03,3.13,3.50,30,179,16.76,43,186,76.88,4,6,9.7,9.4,1724,11.3,1797,.879,2
31,Chicago Blackhawks,28.6,64,20,35,9,49,.383,177,222,1,2,-0.68,0.04,2.77,3.47,38,148,25.68,35,183,80.87,1,6,8.5,7.2,1568,11.3,2050,.892,0
32,San Jose Sharks,27.4,65,17,39,9,43,.331,170,241,1,4,-1.09,0.05,2.62,3.71,37,185,20.00,52,200,74.00,3,7,8.4,8.3,1771,9.6,2075,.884,1